trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.85, 'e': 0.000148720999405116}",30,11,35.309351743574794,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.85, 'e': 0.00014515894904920887}",25,13,21.062996451219085,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.85, 'e': 0.0001417233560090703}",20,5,21.049462825069362,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.85, 'e': 0.0001384083044982699}",20,0,20.832644793691877,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.85, 'e': 0.00013520822065981613}",25,10,26.87726361059879,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.85, 'e': 0.0001321178491214163}",25,7,29.917624054233844,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.85, 'e': 0.00012913223140495868}",20,0,29.263195141001646,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.85, 'e': 0.00012624668602449185}",25,11,27.569562400876027,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.85, 'e': 0.0001234567901234568}",35,2,49.853523721121064,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.85, 'e': 0.00012075836251660427}",35,25,15.6559862115356,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.85, 'e': 0.00011814744801512288}",20,0,26.611368427287072,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.85, 'e': 0.00011562030292519366}",20,8,20.66322173280266,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.85, 'e': 0.00011317338162064282}",25,16,16.529877233045198,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.85, 'e': 0.00011080332409972299}",35,15,28.34095193643164,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.85, 'e': 0.00010850694444444444}",30,18,22.976761813751487,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.85, 'e': 0.00010628122010840685}",20,13,12.036345074453356,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.85, 'e': 0.00010412328196584757}",30,14,29.17916019896458,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.85, 'e': 0.00010203040506070809}",25,13,22.127132074263333,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.85, 'e': 0.0001}",25,0,36.94162875515269,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.85, 'e': 9.802960494069208e-05}",25,0,32.971036830422214,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,13,12.639610419381825,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,12,24.061680162965864,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,15,15.074831807810389,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,5,24.73951320459073,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,6,27.268500773429807,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,16,15.08221100430156,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,34.31292956461425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,11,17.949629613868325,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,15,9.713073103847965,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,10,19.272069188415372,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
